epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1051.24,0.41557,0.47508,1.02526,0.99506,1,0.995,0.96096,0.28631,0.313,0.85602,0.000834822,0.000834822,0.000834822
44,1075.77,0.39875,0.50967,1.0138,0.99376,0.99845,0.995,0.97184,0.24846,0.30956,0.83836,0.000820675,0.000820675,0.000820675
45,1099.8,0.39932,0.46287,1.00216,0.9966,0.99157,0.995,0.96208,0.27696,0.32768,0.85638,0.000806528,0.000806528,0.000806528
46,1124.13,0.41676,0.51165,1.02548,0.99444,0.99527,0.995,0.957,0.29601,0.36331,0.88222,0.00079238,0.00079238,0.00079238
47,1148.42,0.37802,0.47155,0.99263,0.9968,0.9894,0.995,0.96573,0.29335,0.37877,0.87786,0.000778233,0.000778233,0.000778233
48,1172.83,0.35839,0.44419,0.96927,0.99713,0.99018,0.995,0.97115,0.26481,0.34209,0.85358,0.000764086,0.000764086,0.000764086
49,1196.98,0.37622,0.4387,0.99637,0.994,0.99835,0.995,0.94429,0.32945,0.35131,0.88773,0.000749939,0.000749939,0.000749939
50,1221.4,0.40425,0.44722,1.01059,0.99689,0.99196,0.995,0.95518,0.31032,0.36562,0.87911,0.000735792,0.000735792,0.000735792
51,1246.18,0.37392,0.44577,0.98997,0.99239,0.99974,0.995,0.96799,0.27828,0.32566,0.85643,0.000721645,0.000721645,0.000721645
52,1270.58,0.39661,0.43538,1.00549,0.98534,0.99847,0.995,0.97333,0.26148,0.31529,0.85354,0.000707498,0.000707498,0.000707498
53,1294.78,0.37735,0.41278,1.01126,0.98708,1,0.995,0.96911,0.24578,0.30628,0.8422,0.000693351,0.000693351,0.000693351
54,1319.22,0.3644,0.39093,0.97565,0.99578,0.99889,0.995,0.96655,0.26129,0.30827,0.84275,0.000679204,0.000679204,0.000679204
55,1343.35,0.38345,0.41797,0.98702,0.9945,0.99454,0.995,0.964,0.26698,0.31072,0.84521,0.000665057,0.000665057,0.000665057
